path,pd_categories,pd_count,uz_level
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_1.html,name,7,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_10.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_100.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_101.html,name,5,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_102.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_103.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_105.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_106.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_107.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_108.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_109.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_11.html,"",0,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_110.html,name,7,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_112.html,name,5,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_113.html,name,5,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_115.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_117.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_118.html,name,6,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_12.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_121.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_122.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_123.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_124.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_125.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_126.html,"",0,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_127.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_128.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_129.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_13.html,"",0,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_131.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_133.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_134.html,"",0,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_135.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_137.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_139.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_14.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_141.html,"",0,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_144.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_146.html,name,2,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_147.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_149.html,name,1,""
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_15.html,"email, name",3,УЗ-4
/DATA/ПДнDataset/share/Выгрузки/Сайты/page_150.html,name,1,""
